Date,Open,High,Low,Close,Volume,Adj Close
2014-05-29,73.519997,73.559998,72.650002,73.110001,6448000,35.704193
2014-05-30,73.160004,73.5,72.529999,73.239998,6879200,35.767679
2014-06-02,73.220001,74.059998,73.160004,73.849998,5926200,36.06558
2014-06-03,73.720001,74.349998,73.580002,74.18,6764400,36.226741
2014-06-04,74.120003,74.699997,73.639999,74.669998,6495800,36.466037
2014-06-05,74.360001,75.139999,74.199997,74.720001,5187400,36.490457
2014-06-06,75.059998,75.540001,74.800003,75.330002,6204800,36.788359
2014-06-09,75.379997,75.400002,74.650002,75.18,5701000,36.715103
2014-06-10,75.25,75.440002,74.32,74.599998,6641000,36.431852
2014-06-11,74.139999,74.870003,73.849998,74.800003,7510800,36.529527
2014-06-12,74.690002,74.699997,73.730003,73.959999,7193800,36.1193
2014-06-13,73.870003,74.900002,73.529999,74.690002,7708800,36.475807
2014-06-16,74.480003,75.160004,74.459999,75.089996,6759600,36.671149
2014-06-17,75.029999,75.650002,74.989998,75.309998,5778600,36.778589
2014-06-18,75.199997,75.68,74.599998,75.559998,5786600,36.90068
2014-06-19,76.550003,77.5,76.459999,77.230003,12555000,37.716248
2014-06-20,77.629997,77.629997,76.410004,76.599998,12436000,37.408577
2014-06-23,76.690002,77.269997,76.190002,76.730003,4779800,37.472067
2014-06-24,76.900002,77.75,76.540001,77.43,10912400,37.813919
2014-06-25,77.040001,78.18,76.959999,78.120003,7813800,38.150891
2014-06-26,78.010002,78.330002,77.470001,78.059998,6983200,38.121586
2014-06-27,77.959999,78.349998,77.790001,77.940002,8669200,38.062985
2014-06-30,78.099998,78.190002,77.080002,77.379997,9610000,37.7895
2014-07-01,77.889999,78.199997,77.599998,78.080002,8061400,38.131356
2014-07-02,78.379997,78.410004,77.910004,78.190002,4785200,38.185076
2014-07-03,78.389999,79.400002,78.139999,79.059998,6662600,38.609949
2014-07-07,78.779999,79.379997,78.610001,78.690002,7443600,38.429257
2014-07-08,78.639999,78.900002,78.25,78.559998,7802000,38.365768
2014-07-09,78.540001,79.480003,78.360001,79.449997,7782600,38.80041
2014-07-10,78.610001,79.050003,78.190002,78.849998,4720000,38.507393
2014-07-11,78.959999,78.989998,78.139999,78.599998,4239400,38.385303
2014-07-14,78.980003,78.980003,78.419998,78.559998,4562000,38.365768
2014-07-15,78.650002,79.150002,78.459999,78.889999,8305600,38.526928
2014-07-16,79.059998,79.059998,78.309998,78.730003,8615400,38.448792
2014-07-17,78.120003,78.459999,77.120003,77.239998,8446400,37.721129
2014-07-18,77.699997,78.150002,77.25,77.940002,6744600,38.062985
2014-07-21,77.860001,77.93,77.169998,77.610001,5021000,37.901825
2014-07-22,78.330002,79.029999,78.199997,78.739998,6457000,38.453673
2014-07-23,78.510002,79.279999,78.400002,79.139999,6439800,38.649019
2014-07-24,79.589996,80.639999,79.150002,80.449997,16129200,39.288773
2014-07-25,78.400002,79.32,77.900002,78.739998,18974600,38.453673
2014-07-28,78.800003,79.0,78.169998,78.360001,8013000,38.268097
2014-07-29,78.489998,79.25,78.410004,78.650002,7936000,38.409722
2014-07-30,79.0,79.18,78.519997,78.900002,8911000,38.531813
2014-07-31,78.519997,78.699997,77.519997,77.68,8146000,37.93601
2014-08-01,77.5,77.889999,76.580002,76.980003,7797800,37.594158
2014-08-04,77.260002,77.760002,77.029999,77.529999,6282600,37.862755
2014-08-05,77.169998,77.459999,76.43,76.790001,6694600,37.627554
2014-08-06,76.5,77.440002,76.269997,77.129997,5935200,37.794155
2014-08-07,77.330002,77.440002,76.559998,76.709999,5428000,37.588353
2014-08-08,76.629997,77.669998,76.510002,77.620003,5957200,38.03426
2014-08-11,77.669998,78.25,77.650002,77.870003,4513400,38.156762
2014-08-12,77.870003,78.139999,77.519997,77.82,4723600,38.13226
2014-08-13,78.099998,78.099998,77.129997,77.239998,6935200,37.848055
2014-08-14,77.480003,77.5,76.160004,76.620003,10892600,37.544254
2014-08-15,77.220001,77.279999,76.370003,76.910004,8090000,37.686356
2014-08-18,77.190002,77.860001,77.18,77.589996,6830800,38.019557
2014-08-19,77.800003,78.199997,77.599998,78.120003,4907000,38.279263
2014-08-20,78.010002,78.470001,77.739998,78.029999,4668800,38.235161
2014-08-21,77.809998,78.169998,77.389999,77.470001,4812000,37.960758
2014-08-22,77.239998,77.599998,77.050003,77.279999,4538800,37.867656
2014-08-25,77.639999,78.220001,77.510002,77.970001,5698400,38.205761
2014-08-26,78.010002,78.43,77.760002,77.790001,5501600,38.11756
2014-08-27,77.910004,78.269997,77.660004,77.919998,4903600,38.18126
2014-08-28,77.790001,78.029999,77.510002,77.809998,3956800,38.127359
2014-08-29,78.07,78.099998,77.519997,77.809998,4657400,38.127359
2014-09-02,77.699997,77.980003,77.160004,77.480003,6196200,37.96566
2014-09-03,77.559998,77.93,76.699997,76.790001,6796800,37.627554
2014-09-04,76.800003,77.370003,76.760002,77.160004,5741000,37.808858
2014-09-05,77.010002,77.970001,76.809998,77.949997,8026600,38.195959
2014-09-08,77.760002,77.959999,77.330002,77.669998,4492800,38.058758
2014-09-09,77.449997,77.75,76.980003,77.120003,5114600,37.789257
2014-09-10,77.010002,77.400002,76.75,77.209999,5918600,37.833356
2014-09-11,76.980003,77.0,76.080002,76.120003,9353400,37.299251
2014-09-12,75.830002,76.07,74.940002,75.470001,14614800,36.980747
2014-09-15,75.260002,75.339996,74.389999,74.919998,10845800,36.711242
2014-09-16,74.839996,75.449997,74.529999,75.089996,8040200,36.794542
2014-09-17,75.339996,75.82,75.110001,75.339996,7475800,36.917043
2014-09-18,75.589996,75.889999,75.0,75.730003,8027600,37.108149
2014-09-19,75.970001,76.330002,75.769997,76.07,12040800,37.274749
2014-09-22,76.050003,76.050003,74.330002,74.599998,7859600,36.55444
2014-09-23,74.290001,74.879997,73.779999,73.959999,7739000,36.240837
2014-09-24,74.529999,75.43,74.349998,75.32,8586200,36.907245
2014-09-25,75.18,75.279999,74.089996,74.120003,8010800,36.319239
2014-09-26,74.0,75.230003,73.940002,75.169998,7659600,36.833743
2014-09-29,74.550003,75.519997,74.449997,75.269997,6366400,36.882743
2014-09-30,75.559998,75.849998,75.019997,75.459999,7799600,36.975846
2014-10-01,75.68,75.910004,74.410004,74.610001,8119000,36.559341
2014-10-02,74.410004,75.0,73.779999,74.449997,8573600,36.480939
2014-10-03,74.800003,76.099998,74.769997,75.889999,8229000,37.186548
2014-10-06,76.019997,76.230003,75.099998,75.150002,5208000,36.823945
2014-10-07,74.900002,75.050003,74.019997,74.050003,6383400,36.284939
2014-10-08,74.239998,75.419998,73.629997,75.260002,6713400,36.877846
2014-10-09,75.040001,75.82,74.360001,74.480003,9342800,36.495642
2014-10-10,74.260002,75.790001,74.099998,74.459999,10495400,36.48584
2014-10-13,74.209999,74.440002,72.010002,72.190002,12428600,35.373528
2014-10-14,72.410004,73.580002,72.209999,72.739998,10995000,35.643029
2014-10-15,72.029999,72.93,71.269997,72.379997,13621800,35.466626
2014-10-16,71.18,72.870003,70.769997,72.639999,9738000,35.594029
2014-10-17,73.349998,73.910004,72.879997,73.540001,9580600,36.035035
2014-10-20,73.610001,74.75,73.410004,74.699997,7945200,36.60344
2014-10-21,75.0,75.190002,74.139999,74.360001,12296600,36.43684
